DrugBank ID,Name,CAS Number,PubChem Compound ID,PubChem_CID,CAS_Rn0,CAS_Rn1,CAS_Rn2,CAS_Rn3,CAS_Rn4,CAS_Rn5,CAS_Rn6,CAS_Rn7,CAS_Rn8,CAS_Rn9,CAS_Rn10
DB00588,Fluticasone propionate,80474-14-2,444036.0,444036,80474-14-2,,,,,,,,,,
DB00589,Lisuride,18016-80-3,28864.0,28864,18016-80-3,140387-89-9,,,,,,,,,
DB00590,Doxazosin,74191-85-8,3157.0,3157,74191-85-8,,,,,,,,,,
DB00591,Fluocinolone acetonide,67-73-2,6215.0,6215,67-73-2,,,,,,,,,,
DB00592,Piperazine,110-85-0,4837.0,4837,110-85-0,,,,,,,,,,
DB00593,Ethosuximide,77-67-8,3291.0,3291,77-67-8,,,,,,,,,,
DB00594,Amiloride,2609-46-3,16231.0,16231,2609-46-3,2016-88-8,,,,,,,,,
DB00595,Oxytetracycline,79-57-2,54675779.0,54675779,2058-46-0,79-57-2,6153-64-6,7179-50-2,13303-91-8,,,,,,
DB00596,Ulobetasol,98651-66-2,5311167.0,5311167,98651-66-2,,,,,,,,,,
DB00597,Gadoteridol,120066-54-8,60714.0,60714,120066-54-8,,,,,,,,,,
DB00598,Labetalol,36894-69-6,3869.0,3869,36894-69-6,,,,,,,,,,
DB00599,Thiopental,76-75-5,3000715.0,3000715,76-75-5,71-73-8,,,,,,,,,
DB00600,Monobenzone,103-16-2,7638.0,7638,103-16-2,,,,,,,,,,
DB00601,Linezolid,165800-03-3,441401.0,441401,165800-03-3,,,,,,,,,,
DB00602,Ivermectin,70288-86-7,46936176.0,46936176,70288-86-7,,,,,,,,,,
DB00603,Medroxyprogesterone acetate,71-58-9,6279.0,6279,71-58-9,,,,,,,,,,
DB00604,Cisapride,81098-60-4,6917698.0,6917698,81098-60-4,,,,,,,,,,
DB00605,Sulindac,38194-50-2,1548887.0,1548887,38194-50-2,32004-68-5,,,,,,,,,
DB00606,Cyclothiazide,2259-96-3,2910.0,2910,2259-96-3,,,,,,,,,,
DB00607,Nafcillin,147-52-4,8982.0,8982,147-52-4,985-16-0,,,,,,,,,
DB00608,Chloroquine,54-05-7,2719.0,2719,54-05-7,,,,,,,,,,
DB00609,Ethionamide,536-33-4,2761171.0,2761171,536-33-4,,,,,,,,,,
DB00610,Metaraminol,54-49-9,5906.0,5906,54-49-9,,,,,,,,,,
DB00611,Butorphanol,42408-82-2,6916249.0,6916249,42408-82-2,58786-99-5,,,,,,,,,
DB00612,Bisoprolol,66722-44-9,2405.0,2405,66722-44-9,104344-23-2,,,,,,,,,
DB00613,Amodiaquine,86-42-0,2165.0,2165,86-42-0,69-44-3,6398-98-7,,,,,,,,
DB00615,Rifabutin,72559-06-9,6323490.0,135398743,72559-06-9,,,,,,,,,,
DB00617,Paramethadione,115-67-3,8280.0,8280,115-67-3,,,,,,,,,,
DB00618,Demeclocycline,127-33-3,54680690.0,54680690,127-33-3,,,,,,,,,,
DB00619,Imatinib,152459-95-5,5291.0,5291,152459-95-5,,,,,,,,,,
DB00620,Triamcinolone,124-94-7,31307.0,31307,124-94-7,,,,,,,,,,
DB00621,Oxandrolone,53-39-4,5878.0,5878,53-39-4,,,,,,,,,,
DB00622,Nicardipine,55985-32-5,4474.0,4474,55985-32-5,,,,,,,,,,
DB00623,Fluphenazine,69-23-8,3372.0,3372,69-23-8,,,,,,,,,,
DB00624,Testosterone,58-22-0,6013.0,6013,58-22-0,,,,,,,,,,
DB00625,Efavirenz,154598-52-4,64139.0,64139,154598-52-4,,,,,,,,,,
DB00626,Bacitracin,1405-87-4,10909430.0,10909430,22601-59-8,1405-87-4,,,,,,,,,
DB00627,Niacin,59-67-6,938.0,938,59-67-6,,,,,,,,,,
DB00628,Clorazepic acid,23887-31-2,2809.0,2809,23887-31-2,57109-90-7,,,,,,,,,
DB00629,Guanabenz,5051-62-7,3517.0,3517,5051-62-7,,,,,,,,,,
DB00630,Alendronic acid,66376-36-1,2088.0,2088,66376-36-1,,,,,,,,,,
DB00631,Clofarabine,123318-82-1,119182.0,119182,123318-82-1,,,,,,,,,,
DB00632,Docosanol,661-19-8,12620.0,12620,661-19-8,30303-65-2,,,,,,,,,
DB00633,Dexmedetomidine,113775-47-6,5311068.0,5311068,113775-47-6,,,,,,,,,,
DB00634,Sulfacetamide,144-80-9,5320.0,5320,144-80-9,,,,,,,,,,
DB00635,Prednisone,53-03-2,5865.0,5865,53-03-2,,,,,,,,,,
DB00636,Clofibrate,637-07-0,2796.0,2796,637-07-0,,,,,,,,,,
DB00637,Astemizole,68844-77-9,2247.0,2247,68844-77-9,,,,,,,,,,
DB00638,Inulin,9005-80-5,24763.0,24763,9005-80-5,,,,,,,,,,
DB00639,Butoconazole,64872-76-0,47472.0,47472,64872-76-0,64872-77-1,,,,,,,,,
DB00640,Adenosine,58-61-7,60961.0,60961,5536-17-4,58-61-7,30143-02-3,,,,,,,,
DB00641,Simvastatin,79902-63-9,54454.0,54454,79902-63-9,,,,,,,,,,
DB00642,Pemetrexed,137281-23-3,446556.0,135410875,137281-23-3,137281-39-1,150399-23-8,,,,,,,,
DB00643,Mebendazole,31431-39-7,4030.0,4030,31431-39-7,,,,,,,,,,
DB00644,Gonadorelin,33515-09-2,36523.0,36523,9034-40-6,71447-49-9,78308-49-3,33515-09-2,6918-09-8,,,,,,
DB00645,Dyclonine,586-60-7,3180.0,3180,586-60-7,,,,,,,,,,
DB00646,Nystatin,1400-61-9,11953884.0,6433272,1400-61-9,,,,,,,,,,
DB00647,Dextropropoxyphene,469-62-5,10100.0,10100,469-62-5,,,,,,,,,,
DB00648,Mitotane,53-19-0,4211.0,4211,53-19-0,,,,,,,,,,
DB00649,Stavudine,3056-17-5,18283.0,18283,3056-17-5,,,,,,,,,,
DB00650,Leucovorin,58-05-9,6006.0,135403648,58-05-9,1492-18-8,,,,,,,,,
DB00651,Dyphylline,479-18-5,3182.0,3182,479-18-5,,,,,,,,,,
DB00652,Pentazocine,359-83-1,441278.0,441278,359-83-1,7488-49-5,,,,,,,,,
DB00653,Magnesium sulfate,7487-88-9,24083.0,24083,7487-88-9,18939-43-0,68081-97-0,,,,,,,,
DB00654,Latanoprost,130209-82-4,5311221.0,5311221,130209-82-4,155551-81-8,,,,,,,,,
DB00655,Estrone,53-16-7,5870.0,5870,53-16-7,19973-76-3,,,,,,,,,
DB00656,Trazodone,19794-93-5,5533.0,5533,19794-93-5,,,,,,,,,,
DB00657,Mecamylamine,60-40-2,4032.0,4032,60-40-2,,,,,,,,,,
DB00658,Sevelamer,52757-95-6,3085017.0,3085017,52757-95-6,,,,,,,,,,
DB00659,Acamprosate,77337-76-9,71158.0,71158,77337-76-9,,,,,,,,,,
DB00660,Metaxalone,1665-48-1,15459.0,15459,1665-48-1,,,,,,,,,,
DB00661,Verapamil,52-53-9,2520.0,2520,52-53-9,56949-77-0,,,,,,,,,
DB00662,Trimethobenzamide,138-56-7,5577.0,5577,138-56-7,,,,,,,,,,
DB00663,Flumethasone,2135-17-3,16490.0,16490,2135-17-3,,,,,,,,,,
DB00664,Sulfametopyrazine,152-47-6,9047.0,9047,152-47-6,,,,,,,,,,
DB00665,Nilutamide,63612-50-0,4493.0,4493,63612-50-0,,,,,,,,,,
DB00666,Nafarelin,76932-56-4,25077405.0,25077405,76932-56-4,,,,,,,,,,
DB00668,Epinephrine,51-43-4,5816.0,5816,51-43-4,,,,,,,,,,
DB00669,Sumatriptan,103628-46-2,5358.0,5358,103628-46-2,,,,,,,,,,
DB00670,Pirenzepine,28797-61-7,4848.0,4848,28797-61-7,,,,,,,,,,
DB00671,Cefixime,79350-37-1,5362065.0,5362065,79350-37-1,,,,,,,,,,
DB00672,Chlorpropamide,94-20-2,2727.0,2727,94-20-2,,,,,,,,,,
DB00673,Aprepitant,170729-80-3,6918365.0,135413536,170729-80-3,,,,,,,,,,
DB00674,Galantamine,357-70-0,9651.0,9651,357-70-0,23173-12-8,,,,,,,,,
DB00675,Tamoxifen,10540-29-1,2733526.0,2733526,10540-29-1,,,,,,,,,,
DB00676,Benzyl benzoate,120-51-4,2345.0,2345,120-51-4,,,,,,,,,,
DB00677,Isoflurophate,55-91-4,5936.0,5936,55-91-4,,,,,,,,,,
DB00678,Losartan,114798-26-4,3961.0,3961,114798-26-4,,,,,,,,,,
DB00679,Thioridazine,50-52-2,5452.0,5452,50-52-2,,,,,,,,,,
